folio,punto_folio,punto,genero,edad,p1,p2a,p2b,p2c,p3,p5h,p6a,distrito,seccion,hora_termino,estatus,instanceID,formdef_version,KEY
26,3,3,1,60,1,1,1,2,5,2,,8,4191,1517,1,uuid:13cb1894-eeb5-4e38-b981-c898291ba7ee,1707211615,uuid:13cb1894-eeb5-4e38-b981-c898291ba7ee
28,3,3,1,51,4,2,2,99,4,2,5,8,4191,1550,1,uuid:614bf253-e50c-4292-a4fe-e1a3325c379a,1707211615,uuid:614bf253-e50c-4292-a4fe-e1a3325c379a
30,3,3,2,48,4,2,99,2,5,2,3,8,4591,1648,1,uuid:7a873d43-a933-47d0-9027-cec78e762c31,1707211615,uuid:7a873d43-a933-47d0-9027-cec78e762c31
1,1,1,1,25,3,2,2,2,2,1,,12,2222,1041,5,uuid:22aec098-9abb-4405-83d3-93ee57218eae,1707211615,uuid:22aec098-9abb-4405-83d3-93ee57218eae
811,82,82,1,72,3,99,1,1,3,2,99,12,4704,1245,1,uuid:50ff6195-6fd4-4cde-befa-c37b9b2452c5,1707211615,uuid:50ff6195-6fd4-4cde-befa-c37b9b2452c5
812,82,82,2,33,1,2,2,2,4,2,4,12,4704,1319,1,uuid:1dc90e84-693e-43b1-b83e-b6d75d8cf058,1707211615,uuid:1dc90e84-693e-43b1-b83e-b6d75d8cf058
813,82,82,2,64,4,99,2,2,4,2,4,15,4704,1350,1,uuid:a295e095-aa7f-4cc3-ad8b-7203c04c6377,1707211615,uuid:a295e095-aa7f-4cc3-ad8b-7203c04c6377
814,82,82,1,31,2,1,1,1,5,99,2,12,4704,1426,1,uuid:51612e7f-8d1c-48ab-b5b3-abbb9680e683,1707211615,uuid:51612e7f-8d1c-48ab-b5b3-abbb9680e683
815,82,82,1,42,5,1,1,1,5,1,2,12,4704,1508,1,uuid:b8c4a333-f145-41ed-86ca-cbd3dea6d791,1707211615,uuid:b8c4a333-f145-41ed-86ca-cbd3dea6d791
816,82,82,2,47,5,2,2,2,5,2,3,12,4704,1557,1,uuid:f51dd4bb-0d43-4590-8a5d-b13ba5a919ba,1707211615,uuid:f51dd4bb-0d43-4590-8a5d-b13ba5a919ba
817,82,82,2,35,4,99,2,2,3,2,4,12,4704,1631,1,uuid:34ff8604-5325-491b-9a2f-26f29650e7cd,1707211615,uuid:34ff8604-5325-491b-9a2f-26f29650e7cd
818,82,82,1,37,3,1,1,1,4,2,3,12,4704,1709,1,uuid:a0aafeac-f02b-41a5-a0f9-17901d5a1ddf,1707211615,uuid:a0aafeac-f02b-41a5-a0f9-17901d5a1ddf
819,82,82,2,65,2,1,1,2,2,2,2,12,4704,1751,1,uuid:8eba6794-e98d-48fb-a8fe-c5b598081070,1707211615,uuid:8eba6794-e98d-48fb-a8fe-c5b598081070
820,82,82,1,70,3,1,2,99,2,2,3,12,4704,1827,1,uuid:7d84d7d2-dcab-48a6-995b-2cc9ed3f3cce,1707211615,uuid:7d84d7d2-dcab-48a6-995b-2cc9ed3f3cce
1,1,1,2,45,3,2,2,2,5,2,4,12,1312,947,5,uuid:b7c43dfb-10f6-4ee8-963a-d292df06a208,1707211615,uuid:b7c43dfb-10f6-4ee8-963a-d292df06a208
311,32,32,1,53,4,1,1,1,5,2,1,8,4673,1146,1,uuid:8c7d7c8b-3daf-44d4-86a6-41cd2ba93161,1707211615,uuid:8c7d7c8b-3daf-44d4-86a6-41cd2ba93161
312,32,32,1,27,,,,,,,,,,,,uuid:8a3e4483-0d58-4db2-9b8a-6d3aeefa4f27,1707211615,uuid:8a3e4483-0d58-4db2-9b8a-6d3aeefa4f27
312,32,32,1,28,4,2,2,2,5,2,5,8,4673,1219,1,uuid:9fd5aea8-2a00-43f2-9650-73195a30c021,1707211615,uuid:9fd5aea8-2a00-43f2-9650-73195a30c021
313,32,32,1,26,,,,,,,,,,,,uuid:0b470c3f-3360-437a-bc50-d05ec3e90817,1707211615,uuid:0b470c3f-3360-437a-bc50-d05ec3e90817
313,32,32,2,40,3,2,2,2,4,2,5,8,4673,1327,1,uuid:e71af008-97fe-4068-af97-bb6f57a7c4e0,1707211615,uuid:e71af008-97fe-4068-af97-bb6f57a7c4e0
314,32,32,2,51,5,2,2,2,5,2,5,8,4673,1404,1,uuid:2636e99a-09f3-4c9f-a06f-7ecabf254911,1707211615,uuid:2636e99a-09f3-4c9f-a06f-7ecabf254911
315,32,32,1,36,2,1,2,2,5,2,5,8,4673,1437,1,uuid:d0d192a5-407d-4750-b906-eb2b50737b83,1707211615,uuid:d0d192a5-407d-4750-b906-eb2b50737b83
331,34,34,2,46,3,1,2,2,5,2,4,8,4675,1532,1,uuid:92d81470-9c87-4170-9907-2b0d8e4c4685,1707211615,uuid:92d81470-9c87-4170-9907-2b0d8e4c4685
332,34,34,2,73,2,1,1,2,4,2,5,8,4675,1626,1,uuid:0e2e8e25-3880-4e94-bf18-a6beda29888b,1707211615,uuid:0e2e8e25-3880-4e94-bf18-a6beda29888b
61,7,7,2,55,,,,,,,,,,,,uuid:f78ce8e5-19d7-4bfc-b397-a9eecca222fd,1707211615,uuid:f78ce8e5-19d7-4bfc-b397-a9eecca222fd
61,7,7,1,44,3,1,1,2,4,2,4,8,4626,1451,1,uuid:d05b6fb8-c015-497d-af6b-de61f9405d13,1707211615,uuid:d05b6fb8-c015-497d-af6b-de61f9405d13
62,7,7,2,18,2,99,99,2,4,2,5,8,4626,1519,1,uuid:323410a9-4bd0-47e8-899c-fa4628c77cec,1707211615,uuid:323410a9-4bd0-47e8-899c-fa4628c77cec
63,7,7,2,63,4,2,2,2,5,1,2,8,4626,1555,1,uuid:5234ecea-0803-424c-b115-e54e40301c5d,1707211615,uuid:5234ecea-0803-424c-b115-e54e40301c5d
66,7,7,2,31,2,1,1,2,4,2,,2,1,1446,1,uuid:afa907ed-78f6-4fc0-a96a-13c8ca0fdfc3,1707211615,uuid:afa907ed-78f6-4fc0-a96a-13c8ca0fdfc3
67,7,7,2,42,5,2,2,2,5,2,4,8,4626,1539,1,uuid:003ebd8c-123f-49be-951b-d3ee7e610eae,1707211615,uuid:003ebd8c-123f-49be-951b-d3ee7e610eae
68,7,7,1,59,3,99,99,99,4,2,4,8,4626,1642,1,uuid:9e9399e9-0eb6-4a2c-bf07-b6f6b55f2f9e,1707211615,uuid:9e9399e9-0eb6-4a2c-bf07-b6f6b55f2f9e
69,7,7,2,30,,,,,,,,,,,,uuid:5f51ad50-aab3-4ea9-acd6-d11c9632fc1d,1707211615,uuid:5f51ad50-aab3-4ea9-acd6-d11c9632fc1d
69,7,7,2,30,3,2,1,1,5,2,5,8,4626,1726,1,uuid:be4b6859-95ff-46aa-aad9-9cde2e5fa238,1707211615,uuid:be4b6859-95ff-46aa-aad9-9cde2e5fa238
70,7,7,1,45,3,1,99,2,4,2,2,8,4626,1759,1,uuid:ee844a39-d7ec-451f-ad32-70acfc7626e3,1707211615,uuid:ee844a39-d7ec-451f-ad32-70acfc7626e3
64,7,7,1,38,2,1,99,2,4,2,5,8,4626,410,1,uuid:28b49c30-ad5c-4f22-bbac-322cba75f439,1707211233,uuid:28b49c30-ad5c-4f22-bbac-322cba75f439
65,7,7,1,49,4,2,2,1,4,2,2,8,4626,446,1,uuid:62330ee8-68a6-4a8d-b175-7b4f94650b00,1707211233,uuid:62330ee8-68a6-4a8d-b175-7b4f94650b00
391,40,40,2,62,3,2,99,2,5,2,4,40,4609,1357,1,uuid:7f0413cb-977d-4244-bde9-dbfe7680eb1a,1707211615,uuid:7f0413cb-977d-4244-bde9-dbfe7680eb1a
392,40,40,1,19,1,1,2,2,2,1,4,40,4609,1545,1,uuid:171a6a85-08f4-41a9-9272-0c93ef0dc029,1707211615,uuid:171a6a85-08f4-41a9-9272-0c93ef0dc029
393,40,40,2,59,5,99,99,99,4,2,99,40,4609,1637,1,uuid:b4646c54-8aa0-40f5-9feb-e51993435b1c,1707211615,uuid:b4646c54-8aa0-40f5-9feb-e51993435b1c
21,3,3,2,27,5,2,2,2,4,99,3,8,4591,1341,1,uuid:1b010f59-1396-4461-93d2-8a6955fe1ee5,1707211615,uuid:1b010f59-1396-4461-93d2-8a6955fe1ee5
23,3,3,2,50,5,2,99,2,5,2,4,8,4591,1408,1,uuid:21b9373c-e0df-4b46-8838-bdb350ce98bc,1707211615,uuid:21b9373c-e0df-4b46-8838-bdb350ce98bc
26,3,3,2,33,5,2,2,1,5,2,2,8,4591,1506,1,uuid:16a644df-94d5-4bc2-8551-c817b7398fa7,1707211615,uuid:16a644df-94d5-4bc2-8551-c817b7398fa7
27,3,3,1,69,5,2,2,2,5,2,3,8,4591,1535,1,uuid:35280e3c-f429-44d3-a49e-6a3b3244ddca,1707211615,uuid:35280e3c-f429-44d3-a49e-6a3b3244ddca
29,3,3,2,59,5,1,2,2,4,2,5,8,4591,1620,1,uuid:d970ca2c-566a-4485-9084-c3c8aa61a05c,1707211615,uuid:d970ca2c-566a-4485-9084-c3c8aa61a05c
1,1,1,2,19,1,1,1,2,5,2,4,32,2,3,5,uuid:5a9254dc-2fc5-434d-9f27-c0b945e98347,1707211233,uuid:5a9254dc-2fc5-434d-9f27-c0b945e98347
134,14,14,2,61,3,1,2,2,5,2,3,8,4627,1608,1,uuid:c22f6b5e-afec-4465-8744-0d6145551c2a,1707211615,uuid:c22f6b5e-afec-4465-8744-0d6145551c2a
137,14,14,2,70,3,2,2,2,5,1,99,8,4627,1705,1,uuid:4928ff95-7eae-4790-94d6-1157e6021f90,1707211615,uuid:4928ff95-7eae-4790-94d6-1157e6021f90
771,78,78,1,64,5,1,1,2,5,2,5,12,4808,1327,1,uuid:cff16727-3ce6-4002-9c24-437e92802c0e,1707211233,uuid:cff16727-3ce6-4002-9c24-437e92802c0e
772,78,78,2,83,5,1,2,2,5,2,5,12,4808,1403,1,uuid:3f59a0e9-5a4d-422e-9c84-ca74cc9940fd,1707211233,uuid:3f59a0e9-5a4d-422e-9c84-ca74cc9940fd
316,32,32,2,49,2,1,2,2,3,2,4,8,4673,1145,1,uuid:daa87972-77a7-408f-969a-b7cf057a7ac8,1707211615,uuid:daa87972-77a7-408f-969a-b7cf057a7ac8
317,32,32,2,83,4,1,1,1,5,2,2,8,4673,1216,1,uuid:3263c29f-2ac3-459d-9046-37c0256aa266,1707211615,uuid:3263c29f-2ac3-459d-9046-37c0256aa266
318,32,32,2,33,4,2,2,2,5,2,5,8,4673,1305,1,uuid:66da2357-0519-4da7-b960-af925fd1730d,1707211615,uuid:66da2357-0519-4da7-b960-af925fd1730d
319,32,32,1,20,3,1,2,2,4,1,5,8,4673,1414,1,uuid:aea04529-0f0a-4363-afbc-b173bef51d0f,1707211615,uuid:aea04529-0f0a-4363-afbc-b173bef51d0f
320,32,32,1,51,4,2,2,2,5,2,5,8,4673,1447,1,uuid:94083261-c472-49c5-9b23-ee7e4bd82881,1707211615,uuid:94083261-c472-49c5-9b23-ee7e4bd82881
333,34,34,2,72,3,2,2,2,5,2,5,8,4675,1925,1,uuid:0fc43985-d94c-484b-8244-322e76ae8304,1707211615,uuid:0fc43985-d94c-484b-8244-322e76ae8304
336,34,34,2,77,5,99,2,2,5,2,5,8,4675,1638,1,uuid:eae9e5e2-e7ad-49a3-b7f2-265bfb74bbba,1707211615,uuid:eae9e5e2-e7ad-49a3-b7f2-265bfb74bbba
337,34,34,1,50,4,2,2,2,99,2,3,8,4675,1718,1,uuid:c267535e-0d90-4e33-ba4e-e5fb09eb76e1,1707211615,uuid:c267535e-0d90-4e33-ba4e-e5fb09eb76e1
338,34,34,1,74,2,2,2,2,5,2,2,8,4675,1750,1,uuid:efb6b639-0314-4749-a7c5-5b716ab1ee9c,1707211615,uuid:efb6b639-0314-4749-a7c5-5b716ab1ee9c
132,14,14,2,52,4,2,2,2,4,99,99,8,4627,1342,1,uuid:576cfa24-1155-445a-9987-d24761f8cc3b,1707211615,uuid:576cfa24-1155-445a-9987-d24761f8cc3b
339,34,34,1,76,1,1,1,2,5,2,5,8,4675,1822,1,uuid:34f38f29-af56-497d-8c8f-eaf6855bf359,1707211615,uuid:34f38f29-af56-497d-8c8f-eaf6855bf359
131,14,14,1,60,4,2,2,2,4,2,3,8,4627,1307,1,uuid:4da9302b-17ca-47f0-98fb-18a9e512aa08,1707211615,uuid:4da9302b-17ca-47f0-98fb-18a9e512aa08
340,34,34,1,63,3,1,1,2,3,2,5,8,4675,1855,1,uuid:084ccb33-4607-46c0-b6eb-a1f06d510c76,1707211615,uuid:084ccb33-4607-46c0-b6eb-a1f06d510c76
133,14,14,1,65,5,2,2,2,5,2,5,8,4627,1434,1,uuid:c83ee150-82d6-4a4c-95ca-92f454fef13a,1707211615,uuid:c83ee150-82d6-4a4c-95ca-92f454fef13a
136,14,14,1,53,2,1,1,1,4,2,2,8,4627,1629,1,uuid:83a14f35-406f-4fc0-84d7-1101364460e5,1707211615,uuid:83a14f35-406f-4fc0-84d7-1101364460e5
135,14,14,1,18,2,1,1,1,2,2,2,8,4627,1617,1,uuid:7367c460-3363-4c42-a656-a155ce691118,1707211615,uuid:7367c460-3363-4c42-a656-a155ce691118
138,14,14,2,76,5,2,2,2,5,2,5,8,4627,1654,1,uuid:c4546f3b-54f4-488b-8c01-e8b924ef6004,1707211615,uuid:c4546f3b-54f4-488b-8c01-e8b924ef6004
776,78,78,1,35,2,1,2,2,2,99,4,12,4808,1550,1,uuid:44df3807-cbd0-4a11-bd1e-2f8f62f46998,1707211233,uuid:44df3807-cbd0-4a11-bd1e-2f8f62f46998
773,78,78,2,36,2,2,2,2,5,2,5,12,4808,1432,1,uuid:18e30ee9-8261-4214-8fa0-2626a427b40c,1707211233,uuid:18e30ee9-8261-4214-8fa0-2626a427b40c
774,78,78,2,81,5,1,1,2,5,2,2,12,4808,1502,1,uuid:f75329f8-337a-449a-842c-1f3d0a31ac83,1707211233,uuid:f75329f8-337a-449a-842c-1f3d0a31ac83
775,78,78,2,23,4,2,2,2,4,2,4,12,4808,1526,1,uuid:df14280a-9878-4fe2-93b4-04ae518b5fa9,1707211233,uuid:df14280a-9878-4fe2-93b4-04ae518b5fa9
777,78,78,2,28,2,1,2,2,3,2,4,12,4808,1612,1,uuid:78251eb6-48f2-4a7d-962b-83cd0b4b2503,1707211233,uuid:78251eb6-48f2-4a7d-962b-83cd0b4b2503
101,11,11,1,52,4,1,2,2,5,2,4,8,4603,1533,1,uuid:ef708dd6-10fd-4aa6-a929-28dc9ed6a72c,1707211615,uuid:ef708dd6-10fd-4aa6-a929-28dc9ed6a72c
102,11,11,2,37,,,,,,,,,,,,uuid:dcedb6ba-7114-40dc-bc9b-14dd760eb59b,1707211615,uuid:dcedb6ba-7114-40dc-bc9b-14dd760eb59b
102,11,11,2,37,4,2,2,2,5,2,4,8,4603,1637,1,uuid:3de4741e-8c27-4494-8a7d-d191fc602545,1707211615,uuid:3de4741e-8c27-4494-8a7d-d191fc602545
103,11,11,1,44,2,1,2,2,3,2,5,8,4603,1734,1,uuid:af22a01e-0cf4-4ee7-b1fa-da8b7d4561a9,1707211615,uuid:af22a01e-0cf4-4ee7-b1fa-da8b7d4561a9
104,11,11,2,50,2,2,2,2,4,2,3,8,4603,2002,1,uuid:62b9d9af-8c4b-4bf8-8fd7-11f7104eaf9b,1707211615,uuid:62b9d9af-8c4b-4bf8-8fd7-11f7104eaf9b
105,11,11,1,25,4,2,2,2,4,2,4,8,4603,2029,1,uuid:28a59d62-bb5e-47bc-a184-1c67c5c0fb78,1707211615,uuid:28a59d62-bb5e-47bc-a184-1c67c5c0fb78
106,11,11,2,39,3,1,1,1,2,2,4,8,4603,2055,1,uuid:86bd9cb3-80f4-494f-b7df-1064f15adf11,1707211615,uuid:86bd9cb3-80f4-494f-b7df-1064f15adf11
107,11,11,1,28,3,2,99,2,4,2,3,8,4603,2149,1,uuid:f4af15fc-c740-4c78-abb0-ab66ccdb5a4c,1707211615,uuid:f4af15fc-c740-4c78-abb0-ab66ccdb5a4c
778,78,78,2,52,5,2,2,2,4,2,2,12,4808,1644,1,uuid:73f90cc3-9022-4db8-b389-c465d39ac8b6,1707211233,uuid:73f90cc3-9022-4db8-b389-c465d39ac8b6
779,78,78,1,74,5,2,2,2,5,2,5,12,4808,1504,1,uuid:8f8aef35-2514-47c1-9b39-e5eda66bf3bb,1707211233,uuid:8f8aef35-2514-47c1-9b39-e5eda66bf3bb
780,78,78,1,30,3,1,2,2,2,2,4,12,4808,1727,1,uuid:decac25f-0719-4bdf-8d28-5634279ae741,1707211233,uuid:decac25f-0719-4bdf-8d28-5634279ae741
1111,112,112,2,39,2,1,2,2,4,2,5,12,4535,1301,1,uuid:b6d7a6e7-c514-44a5-9b0c-5785fd314ba0,1707211615,uuid:b6d7a6e7-c514-44a5-9b0c-5785fd314ba0
1112,112,112,2,58,4,2,2,2,5,2,4,12,4535,1338,1,uuid:2fba4efe-4d4d-4c1c-9b8a-ff98510c5e13,1707211615,uuid:2fba4efe-4d4d-4c1c-9b8a-ff98510c5e13
1113,112,112,1,48,2,1,2,2,2,2,4,12,4535,1427,1,uuid:2d0d96a3-5d8d-4425-8858-3babec6b7a82,1707211615,uuid:2d0d96a3-5d8d-4425-8858-3babec6b7a82
1114,112,112,1,42,3,1,1,1,4,2,99,12,4535,1515,1,uuid:573e8086-f7c4-4b9a-a33f-2614e7c29449,1707211615,uuid:573e8086-f7c4-4b9a-a33f-2614e7c29449
1115,112,112,1,45,3,99,1,1,4,2,2,12,4535,1556,1,uuid:b4b8e5ab-e25c-46c6-b4fb-35631988b114,1707211615,uuid:b4b8e5ab-e25c-46c6-b4fb-35631988b114
1116,112,112,1,27,2,1,1,2,2,2,4,12,4535,1634,1,uuid:939856ce-5636-4dbf-863e-f6de28299728,1707211615,uuid:939856ce-5636-4dbf-863e-f6de28299728
1117,112,112,1,66,5,2,2,2,5,1,4,12,4535,1708,1,uuid:ddebe42b-a056-4c67-9922-c3307afd4ac5,1707211615,uuid:ddebe42b-a056-4c67-9922-c3307afd4ac5
831,84,84,2,18,3,1,1,1,4,2,3,12,4743,1235,1,uuid:24bc9aa5-a68b-4fd6-a321-35ccdf3f59a2,1707211615,uuid:24bc9aa5-a68b-4fd6-a321-35ccdf3f59a2
832,84,84,2,50,3,1,2,2,4,2,3,12,4743,1319,1,uuid:1e9068a2-5604-4d95-aa9b-77b049c6bfe3,1707211615,uuid:1e9068a2-5604-4d95-aa9b-77b049c6bfe3
833,84,84,2,47,2,2,2,2,2,2,2,12,4743,1358,1,uuid:3a94590e-ff55-4583-a675-559c4d55fa5b,1707211615,uuid:3a94590e-ff55-4583-a675-559c4d55fa5b
834,84,84,1,48,4,2,2,2,5,2,2,12,4743,1431,1,uuid:a65744e6-4c7b-4e97-98d5-7bfb1187d738,1707211615,uuid:a65744e6-4c7b-4e97-98d5-7bfb1187d738
835,84,84,1,21,2,2,2,2,2,99,4,12,4743,1510,1,uuid:8edc89af-3c2e-4e78-8d7d-5268d4059ece,1707211615,uuid:8edc89af-3c2e-4e78-8d7d-5268d4059ece
836,84,84,2,22,4,1,2,2,5,2,5,12,4743,1547,1,uuid:47e7dab5-6fdc-438b-84e8-914d71341194,1707211615,uuid:47e7dab5-6fdc-438b-84e8-914d71341194
837,84,84,2,50,5,2,1,2,4,2,2,12,4743,1626,1,uuid:5dcf3b29-27f7-49cc-b31e-e105e3cbe8eb,1707211615,uuid:5dcf3b29-27f7-49cc-b31e-e105e3cbe8eb
838,84,84,1,49,5,2,2,2,5,2,4,12,4743,1711,1,uuid:f3dff7b4-13e6-40a1-8a25-4b495b11f21b,1707211615,uuid:f3dff7b4-13e6-40a1-8a25-4b495b11f21b
839,84,84,1,22,2,2,2,2,4,2,4,12,4743,1739,1,uuid:9612e2c5-561d-4994-b43b-6218815ac446,1707211615,uuid:9612e2c5-561d-4994-b43b-6218815ac446
840,84,84,1,22,2,1,2,2,4,1,5,12,4743,1832,1,uuid:abd18a1c-711e-4967-b1e1-2f7edf74b951,1707211615,uuid:abd18a1c-711e-4967-b1e1-2f7edf74b951
821,83,83,1,60,4,2,2,2,2,2,4,12,4741,1317,1,uuid:fad5f388-22b2-46b7-8ee2-b12702461b90,1707211615,uuid:fad5f388-22b2-46b7-8ee2-b12702461b90
822,83,83,1,21,3,1,1,2,4,99,4,12,4741,1410,1,uuid:4a507bd5-199d-4e39-9e2b-986392345e1b,1707211615,uuid:4a507bd5-199d-4e39-9e2b-986392345e1b
823,83,83,2,55,4,1,2,2,5,99,4,12,4741,1450,1,uuid:e04b0973-4986-432a-9333-e7d3a6643f18,1707211615,uuid:e04b0973-4986-432a-9333-e7d3a6643f18
824,83,83,2,18,4,2,2,2,4,2,2,12,4741,1525,1,uuid:fc526fa2-61a9-4db9-8b33-ac5b59d10086,1707211615,uuid:fc526fa2-61a9-4db9-8b33-ac5b59d10086
825,83,83,1,66,3,2,2,2,5,2,4,12,4741,1629,1,uuid:ae713d69-bee3-476e-a906-d234c5acb7a4,1707211615,uuid:ae713d69-bee3-476e-a906-d234c5acb7a4
826,83,83,2,47,2,1,2,2,2,99,4,12,4741,1724,1,uuid:e2ade4cd-7de6-454b-affa-2f639efd0455,1707211615,uuid:e2ade4cd-7de6-454b-affa-2f639efd0455
827,83,83,2,63,5,2,2,2,5,2,5,12,4741,1827,1,uuid:313ba5dd-c3b2-4b61-bc8c-d9be77b0cf64,1707211615,uuid:313ba5dd-c3b2-4b61-bc8c-d9be77b0cf64
828,83,83,2,70,5,2,2,2,3,2,4,12,4741,1921,1,uuid:16ae6bf5-5a76-44a9-9804-935523f64a67,1707211615,uuid:16ae6bf5-5a76-44a9-9804-935523f64a67
961,97,97,1,25,4,1,2,2,4,99,4,12,4840,1350,1,uuid:d893fdd1-d0fb-4aac-8952-518cc07c1557,1707211615,uuid:d893fdd1-d0fb-4aac-8952-518cc07c1557
962,97,97,2,67,4,2,2,2,5,2,3,12,4840,1433,1,uuid:169d822c-7015-48b7-9952-100aeb6b1861,1707211615,uuid:169d822c-7015-48b7-9952-100aeb6b1861
963,97,97,2,69,5,1,2,2,5,2,4,12,4840,1511,1,uuid:a6360d20-f313-410b-a889-35bd0841e72b,1707211615,uuid:a6360d20-f313-410b-a889-35bd0841e72b
964,97,97,1,70,5,2,2,1,5,2,2,12,4840,1543,1,uuid:bca79a9a-a7df-437c-b014-097721948778,1707211615,uuid:bca79a9a-a7df-437c-b014-097721948778
965,97,97,2,57,5,2,2,2,5,2,4,12,4840,1654,1,uuid:75e79361-dcca-49ed-a9e6-ac599edb95bf,1707211615,uuid:75e79361-dcca-49ed-a9e6-ac599edb95bf
965,97,97,1,82,5,2,1,2,4,2,5,12,4840,1737,1,uuid:a154435f-6794-4afc-ba2a-cdd78c6124e1,1707211615,uuid:a154435f-6794-4afc-ba2a-cdd78c6124e1
966,97,97,2,40,3,2,2,2,5,2,4,12,4840,1802,1,uuid:ffef49e2-8a96-40c0-919c-b670823a3d8d,1707211615,uuid:ffef49e2-8a96-40c0-919c-b670823a3d8d
967,97,97,2,52,1,99,99,99,3,2,3,12,4840,1847,1,uuid:d8e9e3fd-16ce-46ee-ab11-2bc78011efbe,1707211615,uuid:d8e9e3fd-16ce-46ee-ab11-2bc78011efbe
968,97,97,1,36,2,1,2,2,4,2,4,12,4840,1907,1,uuid:2fdb3a8b-eaa7-43b3-a8ec-d0b8da69b35b,1707211615,uuid:2fdb3a8b-eaa7-43b3-a8ec-d0b8da69b35b
969,97,97,1,45,4,1,2,2,5,2,4,12,4840,1942,1,uuid:aad9fbed-db0c-44bb-9f32-55976e8cf0e8,1707211615,uuid:aad9fbed-db0c-44bb-9f32-55976e8cf0e8
970,97,97,1,36,4,2,2,2,5,2,4,12,4840,1957,1,uuid:337adbfe-108a-4563-aeac-0144f3ecbdec,1707211615,uuid:337adbfe-108a-4563-aeac-0144f3ecbdec
1,1,1,2,25,4,1,1,1,2,2,2,1,1213,1550,5,uuid:3470fd9b-786f-42ad-841d-6216d9bb26fc,1707211233,uuid:3470fd9b-786f-42ad-841d-6216d9bb26fc
